cls,xref
DOID:0050589,KEGG:05321
DOID:0050589,OMIM:612567
DOID:0050589,OMIM:612354
DOID:0050589,OMIM:612241
DOID:0050589,OMIM:612566
DOID:0050589,OMIM:612639
DOID:0050589,OMIM:612244
DOID:0050589,EFO:0003767
DOID:5710,UMLS_CUI:C0855061
DOID:5710,NCI:C8818
DOID:813,UMLS_CUI:C0157845
DOID:813,UMLS_CUI:C0157849
DOID:813,ICD9CM:711.90
DOID:813,SNOMEDCT_2010_1_31:371412008
DOID:813,UMLS_CUI:C0157843
DOID:813,UMLS_CUI:C0157847
DOID:813,NCI:C26700
DOID:813,SNOMEDCT_2010_1_31:83486002
DOID:813,SNOMEDCT_2010_1_31:201595003
DOID:813,UMLS_CUI:C0157844
DOID:813,UMLS_CUI:C0157848
DOID:813,SNOMEDCT_2010_1_31:396234004
DOID:813,SNOMEDCT_2010_1_31:201591007
DOID:813,SNOMEDCT_2010_1_31:48548006
DOID:813,SNOMEDCT_2010_1_31:201599009
DOID:813,SNOMEDCT_2010_1_31:201594004
DOID:813,UMLS_CUI:C0003869
DOID:813,ICD9CM:711.9
DOID:813,SNOMEDCT_2010_1_31:201592000
DOID:813,UMLS_CUI:C0157846
DOID:813,SNOMEDCT_2010_1_31:201455003
DOID:813,SNOMEDCT_2010_1_31:428437005
DOID:813,SNOMEDCT_2010_1_31:201593005
DOID:813,SNOMEDCT_2010_1_31:201623005
DOID:813,SNOMEDCT_2010_1_31:239776008
DOID:813,SNOMEDCT_2010_1_31:196415003
DOID:813,MSH:D001170
DOID:813,SNOMEDCT_2010_1_31:201597006
DOID:813,SNOMEDCT_2010_1_31:201596002
DOID:813,SNOMEDCT_2010_1_31:201598001
DOID:1130,UMLS_CUI:C0342405
DOID:1130,NCI:C27117
DOID:1130,SNOMEDCT_2010_1_31:95830009
DOID:3169,UMLS_CUI:C1335324
DOID:3169,NCI:C8429
DOID:11555,OMIM:613271
DOID:11555,SNOMEDCT_2010_1_31:16949007
DOID:11555,OMIM:615523
DOID:11555,OMIM:613269
DOID:11555,SNOMEDCT_2010_1_31:193839007
DOID:11555,MSH:D005642
DOID:11555,OMIM:613270
DOID:11555,ICD9CM:371.57
DOID:11555,EFO:0003946
DOID:11555,OMIM:613268
DOID:11555,ORDO:98974
DOID:11555,OMIM:610158
DOID:11555,OMIM:136800
DOID:11555,UMLS_CUI:C0016781
DOID:11555,ICD10CM:H18.5
DOID:11555,SNOMEDCT_2010_1_31:393581005
DOID:11555,OMIM:613267
DOID:11555,NCI:C84721
DOID:901,UMLS_CUI:C1112746
DOID:901,NCI:C4949
DOID:8120,SNOMEDCT_2010_1_31:36087009
DOID:8120,NCI:C4141
DOID:8120,UMLS_CUI:C0334305
DOID:8120,SNOMEDCT_2010_1_31:189626003
DOID:8120,SNOMEDCT_2010_1_31:189624000
DOID:8120,SNOMEDCT_2010_1_31:189627007
DOID:9937,SNOMEDCT_2010_1_31:193990009
DOID:9937,UMLS_CUI:C0149506
DOID:9937,ICD9CM:375.42
DOID:9937,SNOMEDCT_2010_1_31:84627005
DOID:4876,UMLS_CUI:C0848879
DOID:4876,SNOMEDCT_2010_1_31:269562004
DOID:4876,SNOMEDCT_2010_1_31:154486000
DOID:2972,UMLS_CUI:C0035066
DOID:2972,MSH:D012078
